x1	     x2	     Zombies cured?
8.7624	 7.8877	 0.0
8.3571	 1.8203	 0.0
3.4788	 3.9733	 0.0
6.0742	 9.2367	 0.0
6.9299	 3.6359	 0.0
9.1933	 2.4750	 0.0
4.1825	 6.3590	 0.0
6.8843	 6.6628	 0.0
3.5747	 8.4954	 0.0
9.2995	 8.6786	 0.0
6.1499	 1.9254	 0.0
4.8893	 7.5761	 0.0
3.6445	 8.3712	 0.0
3.6320	 5.3538	 0.0
10.4194	 2.1008	 0.0
4.6377	 2.2258	 0.0
10.6526	 3.1017	 0.0
5.7179	 7.7263	 0.0
10.6797	 4.7582	 0.0
5.7452	 8.1163	 0.0
3.5074	 2.6837	 0.0
7.8998	 7.3633	 0.0
7.4449	 2.6991	 0.0
10.2516	 8.2074	 0.0
4.6098	 5.8629	 0.0
9.3015	 9.1893	 0.0
5.7818	 2.1040	 0.0
10.7772	 8.9707	 0.0
9.6884	 4.3754	 0.0
8.6944	 2.0354	 0.0
4.7192	 9.2275	 0.0
3.1236	 6.6956	 0.0
4.6803	 4.8649	 0.0
7.2917	 6.2715	 0.0
3.8677	 4.2767	 0.0
9.8301	 3.2410	 0.0
10.2868	 1.8027	 0.0
5.6698	 2.7274	 0.0
6.7531	 4.4871	 0.0
3.0232	 8.5145	 0.0
5.4873	 5.0292	 0.0
6.8818	 6.6022	 0.0
5.0973	 4.6025	 0.0
8.4649	 8.1976	 0.0
10.2895	 7.6305	 0.0
7.5640	 2.5047	 0.0
5.1222	 2.2413	 0.0
10.4278	 6.7825	 0.0
3.5140	 4.5214	 0.0
8.0104	 2.3623	 0.0
10.5862	 6.4905	 0.0
7.1311	 6.4728	 0.0
10.6536	 8.7930	 0.0
5.1762	 6.3491	 0.0
7.2159	 5.3828	 0.0
10.2895	 6.1139	 0.0
4.7175	 9.3568	 0.0
9.6143	 5.6485	 0.0
4.1066	 4.2896	 0.0
6.5020	 9.3630	 0.0
10.0023	 9.4361	 0.0
8.6345	 8.6693	 0.0
6.9762	 7.4326	 0.0
7.8768	 6.8179	 0.0
3.6226	 7.3669	 0.0
4.9315	 4.9873	 0.0
3.2063	 4.6971	 0.0
9.7718	 3.2431	 0.0
3.1189	 8.5530	 0.0
7.4033	 9.0366	 0.0
3.9574	 9.0916	 0.0
7.7036	 2.3515	 0.0
7.9777	 1.9638	 0.0
8.9761	 2.8098	 0.0
5.4794	 5.7198	 0.0
10.3320	 2.0580	 0.0
9.2581	 1.5812	 0.0
3.8084	 2.2334	 0.0
5.2488	 6.3595	 0.0
10.2600	 1.9487	 0.0
3.8887	 6.7648	 0.0
9.3186	 6.1066	 0.0
3.8182	 2.0907	 0.0
9.1436	 3.4326	 0.0
8.2964	 4.3096	 0.0
